file,current_title,current_year,suggested_title_1,suggested_year_1,suggested_medium_1,score_1,suggested_title_2,suggested_year_2,suggested_medium_2,score_2,suggested_title_3,suggested_year_3,suggested_medium_3,score_3,decision
content/oeuvre/printmaking/2016/air-lift/index.md,Air Lift,2016,Airlift,2015,Oil on Gesso Panel,0.93,,,,,,,,,
content/oeuvre/printmaking/2018/teardrop/index.md,Teardrop,2018,Teardrop (Green),,Oil,0.73,,,,,,,,,
content/oeuvre/printmaking/2018/field-theory-ap/index.md,Field Theory AP,2018,Field Theory (red),2015,Oil on Linen,0.84,Field Theory (orange),2016,Oil on Panel,0.82,Field Theory (Pink Lines),2014,Oil on Linen ,0.74,
content/oeuvre/printmaking/2021/butterfly-conundrum/index.md,butterfly conundrum,2021,Butterfly Conundrum,2015,Oil on Gesso Panel,1.00,,,,,,,,,
content/oeuvre/printmaking/2021/lunar-lander/index.md,lunar lander,2021,Lunar Lander,2014,Oil on Handwoven Linen,1.00,,,,,,,,,
content/oeuvre/printmaking/2021/airlift/index.md,airlift,2021,Airlift,2015,Oil on Gesso Panel,1.00,,,,,,,,,
content/oeuvre/printmaking/2023/elephant-mask-intaglio/index.md,Elephant Mask,2023,Elephant Mask,2017,Spraypaint and Acrylic on Panel,1.00,Elephant Mask,2018,Oil on Linen,1.00,,,,,
content/oeuvre/printmaking/2023/crystal-tooth-whale/index.md,Crystal Tooth Whale,2023,Crystal Tooth Whale,2018,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/printmaking/2022/skull/index.md,Skull,2022,Skull,2015,Oil on Panel,1.00,,,,,,,,,
content/oeuvre/printmaking/2022/blue-corn/index.md,Blue Corn,2022,Blue Corn,2016,Oil on Diabond,1.00,Blue Corn,2016,Oil on LInen,1.00,Three Blue Corn,2018,Oil on Canvas,0.75,
content/oeuvre/printmaking/2022/rocket-propelled-clovis-point-intaglio/index.md,Rocket Propelled Clovis Point,2022,Rocket Propelled Clovis Point,2020,Oil on Cotton Canvas,1.00,,,,,,,,,
content/oeuvre/printmaking/2022/space-owl/index.md,Space Owl,2022,Space Shot,2008,Oil on Linen ,0.74,,,,,,,,,
content/oeuvre/painting/2016/approximate-completion/index.md,Approximate Completion,2016,Approximate Completion,,Oil on Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2018/three-blue-corn/index.md,Three Blue Corn,2018,Three Blue Corn,2018,Oil on Canvas,1.00,Blue Corn,2016,Oil on Diabond,0.75,Blue Corn,2016,Oil on LInen,0.75,
content/oeuvre/painting/2018/prickly-pear/index.md,Prickly Pear,2018,Prickly Pear,2018,Oil on Diabond,1.00,,,,,,,,,
content/oeuvre/painting/2018/robot-family/index.md,Robot Family,2018,Robot Family ,2018,"Oil, Oil Stick, Acrylic and Latex on Canvas",1.00,,,,,,,,,
content/oeuvre/painting/2018/seven/index.md,Seven,2018,Seven,2018,Oil on Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2018/thursday/index.md,Thursday,2018,Thursday,2018,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2018/elephant-mask/index.md,Elephant Mask,2018,Elephant Mask,2017,Spraypaint and Acrylic on Panel,1.00,Elephant Mask,2018,Oil on Linen,1.00,,,,,
content/oeuvre/painting/2018/pinned/index.md,Pinned,2018,Pinned,2018,Acylic and Latex on Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2018/crystal-tooth-whale/index.md,Crystal Tooth Whale,2018,Crystal Tooth Whale,2018,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2020/migratory-scavengers/index.md,Migratory Scavengers,2020,Migratory Scavengers,2020,Oil + 24kt gold leaf on ACM panel,1.00,,,,,,,,,
content/oeuvre/painting/2020/solar-ascension/index.md,Solar Ascension,2020,Solar Ascension,2020,Oil on LInen,1.00,,,,,,,,,
content/oeuvre/painting/2020/rocket-propelled-clovis-point/index.md,Rocket Propelled Clovis Point,2020,Rocket Propelled Clovis Point,2020,Oil on Cotton Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2020/bonsai-giant-sequoia/index.md,Bonsai Giant Sequoia,2020,Bonsai Giant Sequoia,2020,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2021/transition/index.md,transition,2021,Transition,2021,Oil on Gesso Panel,1.00,Transitions,2012,Oil on Panel,0.95,,,,,
content/oeuvre/painting/2021/pink-and-yellow/index.md,pink and yellow,2021,Pink and Yellow,2021,"Oil, Oil Stick, Acrylic, Latex on Canvas",1.00,Orange and Yellow,2017,Oil on Gesso Panel,0.75,Oil Cans (yellow),2017,Oil on Gesso Panel,0.73,
content/oeuvre/painting/2021/cydney-and-val/index.md,cydney and val,2021,Cydney and Val,2020,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2021/path-though-the-autumn-leaves/index.md,path though the autumn leaves,2021,Path Through the Autumn Leaves,2021,Oil on Linen,0.98,,,,,,,,,
content/oeuvre/painting/2021/tugboat-whale-sequoia/index.md,tugboat whale sequoia,2021,Tugboat (whale & sequoia),2021,Oil on LInen,0.98,,,,,,,,,
content/oeuvre/painting/2021/there-once-was-ice-here/index.md,there once was ice here,2021,There Once Was Ice Here,2021,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2021/bison-robotics/index.md,bison robotics,2021,Bison Robotics,2021,Oil on LInen,1.00,,,,,,,,,
content/oeuvre/painting/2021/paper-neck-giraffes/index.md,paper neck giraffes,2021,Paper Neck Giraffes,2021,Oil on Cotton Canvas,1.00,,,,,,,,,
content/oeuvre/painting/2021/preservation-cactus/index.md,preservation cactus,2021,Preservation(cactus),2018,Oil on Linen,0.97,,,,,,,,,
content/oeuvre/painting/2021/cyclic-repetition/index.md,cyclic repetition,2021,Cyclic Repetition,2022,Oil on Panel,1.00,,,,,,,,,
content/oeuvre/painting/2009/muxy/index.md,Muxy,2009,Muxy,2009,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2012/me-own-juniper/index.md,Me Own Juniper,2012,Me Own Juniper,2012,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2015/egg/index.md,Egg,2015,Egg,2015,Oil on Panel,1.00,,,,,,,,,
content/oeuvre/painting/2015/split-the-atom/index.md,Split the Atom,2015,Split the Atom,2015,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2015/clouds/index.md,Clouds,2015,Clouds,2015,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2015/binoculars/index.md,Binoculars,2015,Binoculars,2015,Oil on Panel,1.00,,,,,,,,,
content/oeuvre/painting/2015/substantial/index.md,Substantial,2015,Substantial,2015,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/painting/2015/cadence/index.md,Cadence,2015,Cadence,2015,Oil on Gesso Panel,1.00,,,,,,,,,
content/oeuvre/painting/2024/two-squared/index.md,two squared,2024,Two Squash,2018,Oil on LInen,0.76,,,,,,,,,
content/oeuvre/painting/2022/visible/index.md,Visible,2022,Visible,2022,"Acrylic, Latex and Oil on Canvas",1.00,,,,,,,,,
content/oeuvre/painting/2022/the-black-fire/index.md,The Black Fire,2022,The Black Fire,2022,Oil on LInen,1.00,,,,,,,,,
content/oeuvre/painting/2022/docile/index.md,Docile,2022,Docile,2022,Oil on LInen,1.00,,,,,,,,,
content/oeuvre/painting/2022/rhino-radar-arm-fauna/index.md,Rhino Radar (Arm Fauna),2022,Rhino Radar (Arm Fauna),2016,Oil on Gesso Panel,1.00,,,,,,,,,
content/oeuvre/painting/2022/saturday-evening-owls/index.md,Saturday Evening Owls,2022,Saturday Evening Owls,2022,"Acrylic, Latex & Paint marker on Canvas",1.00,,,,,,,,,
content/oeuvre/painting/2022/future-capacitor/index.md,Future Capacitor,2022,Future Capacitor,2022,Acrylic and Latex Cavans,1.00,Past Capacitor,2022,Acylic and Latex on Canvas,0.73,,,,,
content/oeuvre/painting/2022/surviving-the-asteroid/index.md,Surviving the Asteroid,2022,Surviving the Asteroid,2022,"Oil, Oil Stick, Acrylic, Latex on Canvas",1.00,,,,,,,,,
content/oeuvre/painting/2022/ken/index.md,Ken,2022,Ken,2022,Oil on Panel,1.00,,,,,,,,,
content/oeuvre/painting/2014/coffee-carafe/index.md,Coffee Carafe,2014,Coffee Caraffe,2014,Oil on Panel,0.96,,,,,,,,,
content/oeuvre/painting/2014/pet-walk/index.md,Pet Walk,2014,Pet Walk,2014,Oil on Handwoven Linen,1.00,,,,,,,,,
content/oeuvre/painting/2014/atmospheric-whales/index.md,Atmospheric Whales,2014,Atmospheric Whales,2014,Oil on Handwoven Linen,1.00,,,,,,,,,
content/oeuvre/painting/2014/expansion/index.md,Expansion,2014,Expansion,2014,Oil on Handwoven Linen,1.00,Gray Expansion,2016,Oil on Panel,0.78,Expanding,2015,Oil on Panel,0.78,
content/oeuvre/painting/2014/bison-at-sunset/index.md,Bison at Sunset,2014,Bison at Sunset,2014,Oil on Linen ,1.00,,,,,,,,,
content/oeuvre/painting/2014/arm-fauna/index.md,Arm Fauna,2014,Arm Fauna (Rhino),2016,Oil on Gesso Panel,0.75,,,,,,,,,
content/oeuvre/painting/2014/corn-sky-connection/index.md,Corn Sky Connection,2014,Corn Sky Connection,2014,Oil on Handwoven Linen,1.00,,,,,,,,,
content/oeuvre/painting/2013/parasitic-pollen-eaters/index.md,Parasitic Pollen Eaters,2013,Parasitic Pollen Eaters,2013,Oil on Linen,1.00,Airborn Pollen Eaters,2020,Oil on Handloom Linen,0.73,,,,,
content/oeuvre/painting/2013/dodecahedron/index.md,Dodecahedron,2013,Dodecahedron,2013,Oil on Linen,1.00,,,,,,,,,
content/oeuvre/other/2022/continuation/index.md,Continuation,2022,Continuation ,2022,"Acrylic, Latex and Oil on Canvas",1.00,,,,,,,,,
